net_worth,cash,shares_held,profit,Drawdown,Volatility
10104.650085449219,74.09002685546878,48,0.0,0.00533918889439656,0.006576099128128422
10087.370056152346,74.09002685546878,48,-17.28002929687318,0.0070401649609609035,0.006582111293769349
10102.249938964844,74.09002685546878,48,14.879882812498181,0.005575449589099732,0.006339862566062508
10122.890319824217,74.09002685546878,48,20.64038085937318,0.0035436941306226173,0.006286088876277174
10031.689880371094,74.09002685546878,48,-91.20043945312318,0.012521095852851395,0.006244046887299505
9977.930114746094,74.09002685546878,48,-53.759765625,0.01781298935032251,0.006480520697648175
10056.650085449219,74.09002685546878,48,78.719970703125,0.010064114401893384,0.006561818128131722
9969.770202636715,74.09002685546878,48,-86.87988281250364,0.018616218035000326,0.006324810334125509
9914.569763183597,74.09002685546878,48,-55.200439453117724,0.02404992562660595,0.006213404064648506
9912.650085449219,74.09002685546878,48,-1.919677734378638,0.024238890924383853,0.005682893887795507
9948.650085449219,74.09002685546878,48,36.0,0.020695196793761236,0.005653451008815017
9956.809997558594,74.09002685546878,48,8.159912109375,0.019891968109083773,0.0056747730119895605
10079.689880371094,74.09002685546878,48,122.8798828125,0.007796170345354572,0.005257229772304876
9986.090026855469,74.09002685546878,48,-93.599853515625,0.017009760665645045,0.005526450262927285
9988.969909667965,74.09002685546878,48,2.879882812496362,0.01672627667065826,0.00593958630001741
9902.569763183597,74.09002685546878,48,-86.40014648436772,0.025231157003480154,0.005938572314963847
9999.529968261719,74.09002685546878,48,96.96020507812136,0.015686787291277267,0.005958612139308553
9906.890319824217,74.09002685546878,48,-92.63964843750182,0.024805858914358322,0.006408108188741043
9909.770202636715,74.09002685546878,48,2.879882812498181,0.024522374919371356,0.0066832222478433925
9875.689880371094,74.09002685546878,48,-34.08032226562136,0.027877103752216068,0.006617741028485897
9937.610290527346,74.09002685546878,48,61.92041015625182,0.021781909473425662,0.006636039723831645
9924.170349121094,74.09002685546878,48,-13.439941406251819,0.02310488284779362,0.006853226703192154
10051.849792480469,74.09002685546878,48,127.679443359375,0.010536635791299728,0.00683224459939452
10119.529968261719,74.09002685546878,48,67.68017578125,0.0038744735225352102,0.007519724393472173
10122.40985107422,74.09002685546878,48,2.879882812501819,0.0035909895275478866,0.007375747546104928
10165.610290527346,74.09002685546878,48,43.200439453125,0.0,0.007237681863261997
10146.40985107422,74.09002685546878,48,-19.200439453125,0.001888764068697047,0.007083879216556083
10167.050231933592,74.09002685546878,48,20.640380859371362,0.0,0.006751990499401211
10197.770202636715,74.09002685546878,48,30.71997070312318,0.0,0.006566279638373865
